中学校生徒数 学級数,一学年（人）,二学年（人）,三学年（人）,男（人）,女（人）,計（人）,生徒数（再掲）特別支援学級,学級数（学級）
岡山市北区足守中学校,40,46,45,71,60,131,6,7,2
岡山市北区岡輝中学校,77,92,78,130,117,247,23,11,4
岡山市北区中山中学校,167,185,183,263,272,535,11,19,2
岡山市北区石井中学校,126,137,124,212,175,387,16,15,3
岡山市北区高松中学校,166,184,150,261,239,500,8,17,2
岡山市北区建部中学校,28,40,26,57,37,94,3,5,2
岡山市北区御南中学校,292,293,304,488,401,889,21,30,4
岡山市北区京山中学校,281,278,316,457,418,875,23,29,4
岡山市北区岡北中学校,139,158,164,233,228,461,13,14,2
岡山市北区岡山後楽館中学校,76,78,71,93,132,225,0,6,0
岡山市北区吉備中学校,289,295,278,448,414,862,16,28,3
岡山市北区岡山中央中学校,123,137,106,171,195,366,23,16,6
岡山市北区桑田中学校,237,258,251,385,361,746,23,27,5
岡山市北区御津中学校,54,50,67,90,81,171,11,8,2
岡山市北区香和中学校,153,138,154,233,212,445,15,15,3
岡山市中区竜操中学校,283,319,317,422,497,919,29,30,4
岡山市中区操山中学校,177,200,200,313,264,577,35,23,6
岡山市中区高島中学校,160,159,153,243,229,472,17,15,3
岡山市中区緑ヶ丘中学校,1,11,15,22,5,27,0,3,0
岡山市中区操南中学校,241,261,266,410,358,768,24,27,4
岡山市中区東山中学校,117,99,132,179,169,348,15,12,2
岡山市中区富山中学校,107,109,120,173,163,336,11,13,2
岡山市東区旭東中学校,297,305,280,451,431,882,32,32,6
岡山市東区上南中学校,45,50,36,61,70,131,6,7,2
岡山市東区山南中学校,62,68,60,90,100,190,4,8,2
岡山市東区西大寺中学校,148,188,165,266,235,501,12,17,2
岡山市東区瀬戸中学校,123,108,128,191,168,359,10,12,2
岡山市東区上道中学校,157,124,155,231,205,436,14,14,2
岡山市南区光南台中学校,43,43,49,72,63,135,3,8,2
岡山市南区妹尾中学校,116,99,102,178,139,317,17,12,3
岡山市南区福南中学校,137,139,144,217,203,420,14,14,2
岡山市南区芳泉中学校,313,322,326,501,460,961,31,32,5
岡山市南区芳田中学校,170,139,180,258,231,489,16,17,3
岡山市南区興除中学校,108,129,152,213,176,389,12,15,3
岡山市南区灘崎中学校,141,132,132,237,168,405,19,15,3
岡山市南区藤田中学校,129,119,115,187,176,363,14,12,2
岡山市南区福浜中学校,224,241,203,332,336,668,26,23,4
岡山市南区福田中学校,104,103,113,169,151,320,7,12,2
倉敷市東中学校,238,231,247,386,330,716,33,28,7
倉敷市西中学校,283,315,298,452,444,896,27,32,6
倉敷市南中学校,334,347,334,535,480,"1,015 ",38,37,7
倉敷市北中学校,207,194,214,335,280,615,20,21,3
倉敷市多津美中学校,191,190,177,293,265,558,11,20,3
倉敷市新田中学校,210,201,250,349,312,661,17,23,3
倉敷市東陽中学校,272,261,232,420,345,765,23,28,5
倉敷市庄中学校,130,132,160,232,190,422,18,17,4
倉敷第一中学校,243,256,267,429,337,766,16,26,3
倉敷市福田中学校,189,190,200,287,292,579,20,22,4
倉敷市福田南中学校,146,150,166,247,215,462,14,17,2
倉敷市水島中学校,78,74,71,113,110,223,21,10,4
倉敷市連島中学校,181,194,184,285,274,559,14,21,3
倉敷市連島南中学校,113,107,109,167,162,329,17,13,3
倉敷市味野中学校,112,135,126,217,156,373,17,14,3
倉敷市下津井中学校,19,29,23,39,32,71,2,5,2
倉敷市児島中学校,149,153,162,249,215,464,21,19,4
倉敷市琴浦中学校,143,176,187,268,238,506,21,19,4
倉敷市郷内中学校,68,65,79,117,95,212,4,8,2
倉敷市玉島東中学校,157,169,178,235,269,504,15,18,3
倉敷市玉島西中学校,132,120,155,206,201,407,13,15,2
倉敷市玉島北中学校,201,198,224,326,297,623,18,22,3
倉敷市黒崎中学校,24,25,31,31,49,80,2,4,1
倉敷市船穂中学校,66,55,49,94,76,170,3,8,2
倉敷市真備東中学校,141,133,120,208,186,394,12,14,2
倉敷市真備中学校,86,76,86,122,126,248,6,10,2
津山市津山東中学校,213,221,215,334,315,649,26,24,6
津山市中道中学校,95,130,137,175,187,362,22,15,4
津山市北陵中学校,223,218,222,359,304,663,19,23,3
津山市鶴山中学校,73,74,72,116,103,219,9,8,2
津山市津山西中学校,147,144,151,231,211,442,23,17,4
津山市加茂中学校,28,32,43,52,51,103,1,5,1
津山市勝北中学校,53,56,49,83,75,158,11,8,2
津山市久米中学校,69,53,52,89,85,174,8,8,2
玉野市宇野中学校,98,114,146,191,167,358,8,14,2
玉野市玉中学校,56,52,71,94,85,179,5,8,2
玉野市日比中学校,41,58,46,73,72,145,7,7,2
玉野市山田中学校,30,20,28,44,34,78,3,4,1
玉野市荘内中学校,107,85,101,158,135,293,14,12,3
玉野市八浜中学校,28,47,41,56,60,116,4,6,1
玉野市東児中学校,30,32,38,61,39,100,3,4,1
笠岡市笠岡東中学校,116,117,98,185,146,331,10,12,2
笠岡市笠岡西中学校,80,62,82,114,110,224,5,9,2
笠岡市金浦中学校,75,69,76,111,109,220,6,8,2
笠岡市新吉中学校,28,41,28,53,44,97,5,5,2
笠岡市大島中学校,26,28,18,34,38,72,3,4,1
笠岡市神島外中学校,5,5,6,11,5,16,0,3,0
笠岡市白石中学校,1,3,4,5,3,8,2,4,1
笠岡市北木中学校,0,4,2,4,2,6,0,2,0
笠岡市真鍋中学校,1,2,0,1,2,3,0,2,0
笠岡市小北中学校,18,32,38,46,42,88,5,5,2
井原市高屋中学校,52,66,52,85,85,170,4,8,2
井原市木之子中学校,62,54,62,95,83,178,11,9,3
井原市井原中学校,136,150,171,258,199,457,14,16,2
井原市芳井中学校,25,27,35,41,46,87,3,4,1
井原市美星中学校,20,26,34,48,32,80,2,5,2
総社市総社東中学校,273,274,275,446,376,822,27,29,5
総社市総社西中学校,247,236,261,407,337,744,21,25,3
総社市総社中学校,76,89,72,117,120,237,9,9,2
総社市昭和中学校,18,25,28,36,35,71,7,5,2
高梁市高梁中学校,121,113,93,170,157,327,12,14,3
高梁市高梁東中学校,10,20,9,17,22,39,0,3,0
高梁市高梁北中学校,15,13,12,21,19,40,2,4,1
高梁市有漢中学校,16,17,18,26,25,51,0,3,0
高梁市成羽中学校,43,38,54,77,58,135,10,7,2
高梁市川上中学校,12,18,20,25,25,50,4,5,2
新見市新見第一中学校,124,127,136,213,174,387,17,15,3
新見市新見南中学校,49,44,51,67,77,144,1,7,1
新見市大佐中学校,29,26,30,53,32,85,3,4,1
新見市哲多中学校,18,26,22,42,24,66,0,3,0
新見市哲西中学校,24,26,21,37,34,71,1,4,1
備前市備前中学校,75,106,105,151,135,286,16,11,3
備前市伊里中学校,38,36,50,75,49,124,1,5,1
備前市三石中学校,11,11,14,20,16,36,0,3,0
備前市日生中学校,39,60,59,77,81,158,7,7,2
備前市吉永中学校,23,45,42,64,46,110,3,7,2
瀬戸内市牛窓中学校,38,35,42,55,60,115,2,6,2
瀬戸内市邑久中学校,135,151,145,201,230,431,7,14,2
瀬戸内市長船中学校,99,128,117,165,179,344,16,13,3
赤磐市高陽中学校,94,95,106,160,135,295,24,13,4
赤磐市桜が丘中学校,184,180,179,272,271,543,18,19,3
赤磐市赤坂中学校,29,26,35,51,39,90,9,5,2
赤磐市磐梨中学校,56,58,65,101,78,179,12,8,2
赤磐市吉井中学校,24,18,28,39,31,70,4,5,2
真庭市北房中学校,29,40,48,54,63,117,2,6,1
真庭市落合中学校,115,119,104,170,168,338,9,13,2
真庭市久世中学校,112,96,105,147,166,313,6,12,2
真庭市勝山中学校,66,67,62,115,80,195,8,10,4
真庭市湯原中学校,16,17,11,25,19,44,1,4,1
真庭市蒜山中学校,49,41,36,69,57,126,1,6,1
美作市勝田中学校,16,24,10,28,22,50,4,5,2
美作市大原中学校,32,34,36,43,59,102,6,5,2
美作市美作中学校,86,83,110,144,135,279,14,12,3
美作市作東中学校,54,36,40,69,61,130,7,7,2
美作市英田中学校,26,18,18,22,40,62,9,5,2
浅口市金光中学校,87,90,87,140,124,264,7,11,2
浅口市鴨方中学校,147,146,153,239,207,446,8,15,2
浅口市寄島中学校,23,32,32,49,38,87,1,4,1
和気郡和気町佐伯中学校,24,20,18,31,31,62,1,4,1
和気郡和気町和気中学校,88,86,105,139,140,279,4,11,2
都窪郡早島町早島中学校,104,117,114,179,156,335,10,13,2
浅口郡里庄町里庄中学校,93,93,98,143,141,284,4,11,2
小田郡矢掛町矢掛中学校,93,77,113,155,128,283,16,12,4
真庭郡新庄村新庄中学校,8,5,6,10,9,19,0,3,0
苫田郡鏡野町鏡野中学校,107,109,92,162,146,308,15,14,3
勝田郡勝央町勝央中学校,103,91,108,152,150,302,20,12,3
勝田郡奈義町奈義中学校,34,55,55,84,60,144,9,7,2
英田郡西粟倉村西粟倉中学校,15,14,6,18,17,35,2,4,1
久米郡久米南町久米南中学校,39,34,40,52,61,113,3,5,2
久米郡美咲町中央中学校,68,69,55,98,94,192,9,8,2
久米郡美咲町旭中学校,8,18,15,19,22,41,3,4,1
久米郡美咲町柵原中学校,32,43,51,57,69,126,3,7,2
加賀郡吉備中央町加賀中学校,80,87,81,138,110,248,13,11,3
